,hour,popularity_by_hour
0,1,5.657325929090132
1,2,5.081589064502349
2,3,4.750277659120034
3,4,4.529859034600598
4,5,4.2789406236651
5,6,4.699957283212302
6,7,6.955489107219137
7,8,10.69158479282358
8,9,17.613583938487825
9,10,24.03366082870568
10,11,31.07663391712943
11,12,32.75480563861598
12,13,29.89457496796241
13,14,24.577445536095684
14,15,21.166424604869714
15,16,14.672789406236651
16,17,11.158564715933363
17,18,12.390944041008115
18,19,18.93421614694575
19,20,21.45066211020931
20,21,17.29491670226399
21,22,11.984280222127296
22,23,8.792823579666809
23,24,7.152926099957283
