,hour,popularity_by_hour
0,1,3.9737071700507616
1,2,3.663951459390863
2,3,3.475618654822335
3,4,3.3571700507614213
4,5,3.3098350253807105
5,6,3.4575348984771574
6,7,4.032749048223351
7,8,6.411564086294416
8,9,10.871169098984772
9,10,15.81608502538071
10,11,20.076007296954316
11,12,20.33100412436548
12,13,17.199651015228426
13,14,12.892044733502537
14,15,11.844019670050761
15,16,11.187293781725888
16,17,10.675610723350253
17,18,11.654330583756344
18,19,12.419900063451777
19,20,11.135707487309645
20,21,8.74616116751269
21,22,6.674579631979696
22,23,5.361572017766497
23,24,4.787801395939086
