,region,value,device_type
52,UT,47.0,android
53,UT,36.0,ios
54,UT,49.0,android
55,UT,38.0,ios
56,UT,54.0,android
57,UT,34.0,ios
70,UT,61.0,android
71,UT,34.0,ios
72,UT,66.0,android
73,UT,36.0,ios
74,UT,65.0,android
75,UT,25.0,ios
100,GA,11.0,android
101,GA,23.0,ios
102,GA,16.0,android
103,GA,19.0,ios
104,GA,12.0,android
105,GA,11.0,ios
106,UT,4.0,android
107,UT,13.0,ios
108,UT,6.0,android
109,UT,8.0,ios
110,UT,4.0,android
111,UT,8.0,ios
112,GA,7.0,android
113,GA,4.0,ios
114,GA,9.0,android
115,GA,10.0,ios
116,GA,4.0,android
117,GA,7.0,ios
196,UT,24.0,android
197,UT,20.0,ios
198,UT,22.0,android
199,UT,22.0,ios
200,UT,24.0,android
201,UT,15.0,ios
245,UT,0.0,android
246,UT,0.0,ios
247,UT,0.0,android
248,UT,0.0,ios
365,UT,46.0,android
366,UT,58.0,ios
367,UT,29.0,android
368,UT,41.0,ios
369,UT,48.0,android
370,UT,43.0,ios
416,GA,32.0,android
417,GA,53.0,ios
418,GA,33.0,android
419,GA,50.0,ios
420,GA,24.0,android
421,GA,45.0,ios
452,UT,124.0,android
453,UT,91.0,ios
454,UT,84.0,android
455,UT,73.0,ios
456,UT,88.0,android
457,UT,69.0,ios
458,UT,22.0,android
459,UT,18.0,ios
460,UT,17.0,android
461,UT,15.0,ios
462,UT,20.0,android
463,UT,14.0,ios
471,UT,33.0,android
472,UT,18.0,ios
473,UT,38.0,android
474,UT,33.0,ios
475,UT,39.0,android
476,UT,24.0,ios
477,UT,18.0,android
478,UT,28.0,ios
479,UT,14.0,android
480,UT,34.0,ios
481,UT,13.0,android
482,UT,28.0,ios
562,UT,28.0,android
563,UT,14.0,ios
564,UT,23.0,android
565,UT,26.0,ios
566,UT,19.0,android
567,UT,34.0,ios
568,UT,0.0,android
569,UT,0.0,ios
570,UT,4.0,android
571,UT,4.0,ios
572,UT,4.0,android
573,UT,4.0,ios
714,UT,4.0,android
715,UT,4.0,ios
716,UT,0.0,android
717,UT,0.0,ios
718,UT,4.0,android
719,UT,0.0,ios
720,UT,4.0,android
721,UT,5.0,ios
722,UT,7.0,android
723,UT,7.0,ios
724,UT,10.0,android
725,UT,10.0,ios
778,UT,0.0,android
779,UT,6.0,ios
780,UT,7.0,android
781,UT,4.0,ios
782,UT,7.0,android
783,UT,17.0,ios
790,GA,8.0,android
791,GA,4.0,ios
